Short name,Opening name,Moves
D00,"Langeheinecke Variation, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3
D00,"Elbert Counter-Gambit, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e5
D00,"Weinsbach Declination, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6
D00,"Albrecht; Karlshruhle Defense, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 g6
D06,"Pseudo-Chigorin, QGD",1.d4 d5 2.c4 Bf5 3.Nc3 e6 4.Nf3 Nc6
D15,"Suchting Variation, Slav",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 Qb6
D22,"Alekhine Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 a6 4.e3 Bg4
D25,"Smyslov Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 g6
D26,Traditional System QGA; D26,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6
D31,"Noteboom Variation, Semi-Slav",1.d4 d5 2.c4 e6 3.Nc3 c6 4.Nf3 dxc4
D38,"Ragozin Variation, QGD; D38",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Bb4
D53,D53,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7
E02,E02,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4
E20,"Ragozin Variation, Nimzo-Indian",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 d5
E34,"Noa Variation, Nimzo-Indian; E34",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5
E38,"Berlin Variation, Nimzo-Indian; E38",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5
E40,"Taimanov Variation, Nimzo-Indian",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 Nc6
E46,"Normal Variation, Nimzo-Indian; E46",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O
,Unknown,1.c4 c6 2.Nf3 d5 3.b3 Nf6 4.Bb2 Bf5
,Unknown,1.c4 c6 2.Nf3 d5 3.b3 Nf6 4.Bb2 Bg4
,Unknown,1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.Nf3
,Unknown,1.e4 e5 2.d4 exd4 3.Nf3 c5 4.Bc4 b5
,Unknown,1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.Nc3 Nd7
,Unknown,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 g6
,Unknown,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7
A36,"Symmetrical Variation, Symmetrical English",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7
A34,"Keres-Parma System, English",1.c4 c5 2.Nc3 Nf6 3.Nf3 e6 4.g3 Nc6
A21,"Troger Variation, English",1.c4 e5 2.Nc3 d6 3.g3 Be6 4.Bg2 Nc6
A25,"Troger Variation, English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Be6
A25,"Taimanov Variation, English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7
A28,"Bradley Beach Variation, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d4 e4
A22,"Bellon Gambit, English",1.c4 e5 2.Nc3 Nf6 3.Nf3 e4 4.Ng5 b5
A14,A14,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7
A40,St George's Gambit,1.d4 a6 2.c4 b5 3.e4 e6 4.cxb5 axb5
D00,"Euwe Variation, Queen Pawn Game",1.d4 d5 2.Bg5 h6 3.Bh4 c6 4.Nf3 Qb6
D06,"Pseudo-Chigorin, QGD",1.d4 d5 2.c4 Bf5 3.Nc3 e6 4.Nf3 Nc6
D15,"Suchting Variation, Slav",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 Qb6
D22,"Alekhine Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 a6 4.e3 Bg4
D26,Traditional System QGA; D26,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6
D25,"Smyslov Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 g6
D31,"Noteboom Variation, Semi-Slav",1.d4 d5 2.c4 e6 3.Nc3 c6 4.Nf3 dxc4
D53,D53,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7
D38,"Ragozin Variation, QGD; D38",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Bb4
D00,"Brombacher; Daberitz Var, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 c5
D00,"O'Kelly Variation, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 c6
D00,"Langeheinecke Variation, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3
D00,"Elbert Counter-Gambit, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e5
D00,"Weinsbach Declination, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6
D00,"Albrecht; Karlshruhle Defense, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 g6
A90,Nimzo-Dutch Variation,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Bb4+
A84,"Krause Variation, Dutch",1.d4 f5 2.c4 Nf6 3.Nc3 d6 4.Nf3 Nc6
A40,Zaire Defense,1.d4 Nc6 2.d5 Nb8 3.e4 Nf6 5.e5 Ng8
A51,"Bonsdorf Variation, Budapest",1.d4 Nf6 2.c4 e5 3.dxe5 Ne4 4.a3 b6
A52,"Balogh; Tartakower C-G, Budapest",1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 d6
E02,E02,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4
E40,"Taimanov Variation, Nimzo-Indian",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 Nc6
E46,"Normal Variation, Nimzo-Indian; E46",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O
E20,"Ragozin Variation, Nimzo-Indian",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 d5
E38,"Berlin Variation, Nimzo-Indian; E38",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5
E34,"Noa Variation, Nimzo-Indian; E34",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5
A47,Marienbad Variation,1.d4 Nf6 2.Nf3 b6 3.g3 Bb7 4.Bg2 c5
A48,King's Indian Variation,1.d4 Nf6 2.Nf3 g6 3.e3 Bg7 4.Bd3 d6
B28,"Gambit Line, O'Kelly Sicilian",1.e4 c5 2.Nf3 a6 3.c3 d5 4.exd5 Nf6
B11,"Retreat Line, Mindeno Variation, Caro-Kann",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bh5
B08,"Two Knights System, Pirc",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7
C23,"Paschmann Gambit, Bishop",1.e4 e5 2.Bc4 Nf6 3.Ne2 Nxe4 4.Nec3
C25,"Erben Gambit, Vienna",1.e4 e5 2.Nc3 Nf6 3.g3 d5 4.exd5 c6
C41,"Sharp Variation, Philidor",1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 Nb6
C41,"Lion Variation, Philidor",1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Nf6
C70,"Caro Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 b5
C71,Steinitz Defense Deferred; Ruy Lopez; C71,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6
C71,"Modern Steinitz Defense, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6
C70,"Schliemann Defense Deferred, Ruy",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 f5
C64,"Konikowski Gambit, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 d5
C64,"Cordel Gambit, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 f5
C51,"Hein Countergambit, Evans",1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 d5
C50,Jerome Gambit; Kentucky Opening,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.Bxf7+
C53,"Alexandre Gambit, Italian",1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 f5
C50,Lucchini Gambit; Italian,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 f5
C44,"Caro Variation, Ponziani",1.e4 e5 2.Nf3 Nc6 3.c3 d5 4.Qa4 Bd7
C44,"Leonhardt Variation, Ponziani",1.e4 e5 2.Nf3 Nc6 3.c3 d5 4.Qa4 Nf6
C44,"Goering Gambit Declined, Scotch",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.c3 d5
C12,"McCutcheon Variation, French",1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4
C14,C14,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7
C07,"Shaposhnikov Gambit, French",1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Nf6
B05,B05,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4
B04,"Schmid Variation, Alekhine",1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nb6
A00,"Novosibirsk Variation, Dunst",1.Nc3 c5 2.d4 cxd4 3.Qxd4 Nc6 4.Qh4
A00,"Pseudo-Diemer Gambit, Dunst",1.Nc3 d5 2.e4 dxe4 3.f3 exf3 4.Qxf3
A13,"Neo Catalan Accepted, English",1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 dxc4
A22,"Erbenheimer Gambit, English",1.c4 e5 2.Nc3 Nf6 3.Nf3 e4 4.Ng5 Ng4
A45,Kraus-Muhlherr Counter Gambit,1.d4 Nf6 2.f3 d5 3.e4 e5 4.dxe5 Nxe4
A83,"Nimzovich Variation, Dutch",1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 b6
A83,"Chigorin Variation, Dutch",1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 c6
B00,"Nimzovich Gambit, Nimzovich Defense",1.e4 Nc6 2.d4 d5 3.Nc3 dxe4 4.d5 Ne5
B01,"Kadas Gambit, Center Counter",1.e4 d5 2.exd5 Nf6 3.d4 c6 4.dxc6 e5
B04,"Larsen Variation, Alekhine",1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5
B16,"Finnish Variation, Caro-Kann",1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 h6
B28,"Taimanov Line, O'Kelly Sicilian",1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Nxd4 e5
B28,"Kan Line, O'Kelly Sicilian",1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Nxd4 e6
B41,"Paulsen; Kan Variation, Sicilian",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6
C07,"Chistiakov Defense, French",1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Qxd5
C08,C08,1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 exd5
C10,"Ellis Gambit, French",1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 e5
C11,"Burn Variation, French",1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4
C23,"Lewis Countergambit, Bishop",1.e4 e5 2.Bc4 Bc5 3.c3 d5 4.Bxd5 Nf6
C24,"Kitchner Folly, Bishop",1.e4 e5 2.Bc4 Nf6 3.d3 Be7 4.Nf3 O-O
C25,"Quelle Gambit, Vienna",1.e4 e5 2.Nc3 Nc6 3.f4 Bc5 4.fxe5 d6
C31,"Pickler Gambit, KGD",1.e4 e5 2.f4 d5 3.exd5 c6 4.dxc6 Bc5
C33,"Bogoljubov; Jaenisch Variation, KGA",1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3 c6
C33,"Weiss Defense, KGA",1.e4 e5 2.f4 exf4 3.Be2 f5 4.exf5 d6
C37,"Blachy Gambit, KGA",1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Nc6
C38,"Traditional Variation, KGA; C38",1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7
C40,"Chigorin Gambit, Damiano",1.e4 e5 2.Nf3 f6 3.Nxe5 Qe7 4.Nf3 d5
C41,"Alapin-Blackburne Gambit, Philidor",1.e4 e5 2.Nf3 d6 3.d4 Bg4 4.dxe5 Nd7
C41,"Larsen Variation, Philidor",1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 g6
C41,"Larobok Variation, Philidor",1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7
C53,"Lewis Defense, Italian; Closed Variation",1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7
C54,C54,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6
C64,"Charousek Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 Bb6
C64,"Boden Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 Qe7
C65,"Mortimer Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Ne7
C66,"Improved Steinitz Defense, Ruy Lopez; C66",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6
C70,"Alapin's Defense Deferred, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Bb4
C70,"Classical Defense Deferred, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Bc5
C77,C77,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6
D00,"Wiesengren Defense, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bc5
D00,Hans Mullers; Vienna V,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bf5
D00,"Lamb Defense, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Nc6
D15,"Two Knights Attack, Slav",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4
D25,"Flohr; Winawer Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 Be6
D25,"Larsen; Janowski; Modern Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 Bg4
D30,"Vienna Variation, QGD",1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 Bb4+
D32,"Schara-Hennig; Duisburg Gambit, QGD",1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 cxd4
D44,"Vienna Variation, Semi-Slav",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 dxc4
D51,"Knight Defense, QGD; D51",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7
E33,"Milner-Barry, Zurich Variation, Nimzo-Indian; E33",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 Nc6
,Unknown,1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4
,Unknown,1.e4 e6 2.d4 d5 3.Nd2 Nc6 4.Ngf3 Nf6
,Unknown,1.e4 e5 2.f4 exf4 3.Bc4 d5 4.Bxd5 c6
,Unknown,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6
,Unknown,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nd4
,Unknown,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5
A22,"Erbenheimer Gambit, English",1.c4 e5 2.Nc3 Nf6 3.Nf3 e4 4.Ng5 Ng4
A13,"Neo Catalan Accepted, English",1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 dxc4
D15,"Two Knights Attack, Slav",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4
D25,"Flohr; Winawer Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 Be6
D25,"Larsen; Janowski; Modern Variation, QGA",1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 Bg4
D32,"Schara-Hennig; Duisburg Gambit, QGD",1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 cxd4
D51,"Knight Defense, QGD; D51",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7
D44,"Vienna Variation, Semi-Slav",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 dxc4
D30,"Vienna Variation, QGD",1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 Bb4+
D00,"Wiesengren Defense, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bc5
D00,Hans Mullers; Vienna V,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bf5
D00,"Lamb Defense, BDG",1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Nc6
A83,"Nimzovich Variation, Dutch",1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 b6
A83,"Chigorin Variation, Dutch",1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 c6
E33,"Milner-Barry, Zurich Variation, Nimzo-Indian; E33",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 Nc6
A45,Kraus-Muhlherr Counter Gambit,1.d4 Nf6 2.f3 d5 3.e4 e5 4.dxe5 Nxe4
B28,"Taimanov Line, O'Kelly Sicilian",1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Nxd4 e5
B28,"Kan Line, O'Kelly Sicilian",1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Nxd4 e6
B41,"Paulsen; Kan Variation, Sicilian",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6
B16,"Finnish Variation, Caro-Kann",1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 h6
B01,"Kadas Gambit, Center Counter",1.e4 d5 2.exd5 Nf6 3.d4 c6 4.dxc6 e5
C23,"Lewis Countergambit, Bishop",1.e4 e5 2.Bc4 Bc5 3.c3 d5 4.Bxd5 Nf6
C24,"Kitchner Folly, Bishop",1.e4 e5 2.Bc4 Nf6 3.d3 Be7 4.Nf3 O-O
C31,"Pickler Gambit, KGD",1.e4 e5 2.f4 d5 3.exd5 c6 4.dxc6 Bc5
C33,"Bogoljubov; Jaenisch Variation, KGA",1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3 c6
C33,"Weiss Defense, KGA",1.e4 e5 2.f4 exf4 3.Be2 f5 4.exf5 d6
C38,"Traditional Variation, KGA; C38",1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7
C37,"Blachy Gambit, KGA",1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Nc6
C25,"Quelle Gambit, Vienna",1.e4 e5 2.Nc3 Nc6 3.f4 Bc5 4.fxe5 d6
C41,"Alapin-Blackburne Gambit, Philidor",1.e4 e5 2.Nf3 d6 3.d4 Bg4 4.dxe5 Nd7
C41,"Larsen Variation, Philidor",1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 g6
C41,"Larobok Variation, Philidor",1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7
C40,"Chigorin Gambit, Damiano",1.e4 e5 2.Nf3 f6 3.Nxe5 Qe7 4.Nf3 d5
C70,"Alapin's Defense Deferred, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Bb4
C70,"Classical Defense Deferred, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Bc5
C77,C77,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6
C64,"Charousek Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 Bb6
C64,"Boden Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 Qe7
C65,"Mortimer Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Ne7
C66,"Improved Steinitz Defense, Ruy Lopez; C66",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6
C54,C54,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6
C53,"Lewis Defense, Italian; Closed Variation",1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7
C10,"Ellis Gambit, French",1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 e5
C11,"Burn Variation, French",1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4
C13,C13,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4
C08,C08,1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 exd5
C07,"Chistiakov Defense, French",1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Qxd5
B00,"Nimzovich Gambit, Nimzovich Defense",1.e4 Nc6 2.d4 d5 3.Nc3 dxe4 4.d5 Ne5
B04,"Larsen Variation, Alekhine",1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5
A13,"Wimpy System, English",1.c4 e6 2.Nf3 d5 3.b3 Nf6 4.Bb2 c5 e3
A32,"Spielmann Defense, Symmetrical English; A32",1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6
A48,"Euwe Variation, Torre Attack",1.d4 Nf6 2.Nf3 g6 3.Bg5 Bg7 4.Nbd2 c5
B00,"Riemann Defense, Nimzovich Defense",1.e4 Nc6 2.d4 e5 3.dxe5 Nxe5 4.f4 Nc6
B01,"Kiel Variation, Center Counter",1.e4 d5 2.exd5 Nf6 3.d4 Nxd5 4.c4 Nb4
B01,"Richter Variation, Center Counter",1.e4 d5 2.exd5 Nf6 3.d4 Nxd5 4.Nf3 g6
B01,"Anderssen Variation, Center Counter",1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.d4 e5
B01,"Schiller-Pytel Variation, Center Counter",1.e4 d5 2.exd5 Qxd5 3.Nc3 Qd6 4.d4 c6
B15,"Knight Variation, Caro",1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6
B17,"Karpov Variation, Caro-Kann; B17",1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
B18,"Classical Variation, Caro; B18",1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
B32,"Nimzovich Variation, Sicilian; Nimzo-American Variation",1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 d5
B32,"Bourdonnais; Lowenthal Var, Sic",1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5
B34,Accelerated Dragon; Fianchetto Var; B34,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6
B40,"Kveinis Variation, Sicilian",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Qb6
B41,"Anderssen; Counterattack Var, Sic",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6
B44,"Taimanov; Bastrikov, Paulsen Variation, Sicilian; B44",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6
B55,B55,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6
C10,"Blackburne Defense, French",1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
C10,"Frere; Becker; Katilimov, Maric Var, French",1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Qd5
C20,Weber Gambit,1.e4 e5 2.d3 d5 3.exd5 c6 4.dxc6 Nxc6
C25,"Cunningham Defense, Vienna",1.e4 e5 2.Nc3 Nc6 3.f4 exf4 4.Nf3 Be7
C27,"Eifel Gambit, Vienna",1.e4 e5 2.Nc3 Nf6 3.Bc4 Bc5 4.Nge2 b5
C33,"Bledow Countergambit, KGA",1.e4 e5 2.f4 exf4 3.Bc4 d5 4.Bxd5 Nf6
C33,"Bryan; Kieseritzky Gambit, KGA",1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 b5
C33,"Cozio Variation, KGA",1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 d6
C33,"Classical Defense, KGA; Lopez Variation",1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5
C35,"Neo-Cunningham Gambit, KGA; McCormick Defense",1.e4 e5 2.f4 exf4 3.Nf3 Be7 4.Bc4 Nf6
C36,"Abbazia Defense, KGA",1.e4 e5 2.f4 exf4 3.Nf3 d5 4.exd5 Nf6
C40,"Polerio-Svedenborg Variation, Latvian",1.e4 e5 2.Nf3 f5 3.Bc4 fxe4 4.Nxe5 d5
C41,"Boden Variation, Philidor",1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Qxd4 Bd7
C42,"Lichtenhein Defense, Petroff",1.e4 e5 2.Nf3 Nf6 3.Bc4 Nxe4 4.Nc3 d5
C43,"Murret Variation, Petroff",1.e4 e5 2.Nf3 Nf6 3.d4 Nxe4 4.Bd3 Nc6
C44,"Benima Defense, Scotch",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Be7
C46,"Schlechter Variation, Three Knights",1.e4 e5 2.Nf3 Nc6 3.Nc3 Bb4 4.Nd5 Nf6
C48,"Classical Variation, Four Knights",1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bc5
C48,"Rubinstein Variation, 4 Knights",1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4
C49,"Double Ruy Lopez Opening, 4 Knights; C49",1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4
C50,"Italian Variation, Four Knights Game",1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.Nc3 Nf6
C51,Evans Gambit Accepted,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4
C57,"Traxler; Wilkes-Barre Var, 2 Knights",1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 Bc5
C60,"Paulsen Variation, Cozio Defense, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7 4.Nc3 g6
C65,"Beverwijk Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Bc5
C66,"Fishing Pole Variation, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Ng4
C70,"Cozio Defense Deferred, Ruy Lopez",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nge7
D01,"Grunfeld Defense, Veresov",1.d4 d5 2.Nc3 Nf6 3.Bg5 Nbd7 4.Nf3 g6
D06,"Modern Gambit, Chigorin Defense",1.d4 d5 2.c4 Nc6 3.Nc3 Nf6 4.Nf3 dxc4
